,Title,Body Copy,TBL Studio Link,Published tags,Editorial Feedback,Writer,Auto-Extracted Concepts,Suggested Revision Front End Tags,Suggested Revision Back End Tags,Related tags,Other Notes,url_slug,Image Location,TBL Image S3 Location
,Dallas Country Club Reception,"With a guest list of 400, Megan and Bobby decided against assigned seating and allowed their guests to sit wherever they liked. The couple also skipped the traditional sit-down dinner, opting instead for food stations so guests could mix and mingle with ease.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDI5NzEy,4:  Traditional   Glamorous   Ballroom   Reception,"Missing classic, but glam should be primary style tag",Libby MacCarthy,"	""additional_terms"" : [
		""food stations"",
		""traditional sit-down dinner"",
		""dinner"",
		""megan"",
		""dallas"",
		""decided""
	],
	""concepts"" : [
		""guest list"",
		""guests"",
		""country club"",
		""traditional"",
		""classic"",
		""reception"",
		""country""
	]","reception, ballroom, classic, traditional, centerpiecees, tall centerpieces","formal, luxury, chandeliers, draping, gold, pink, white, chiavari, candles, romantic, garland, flower arrangments, seated meal, linens, ",,,https://www.theknot.com/real-weddings/dallas-country-club-reception-photo,https://apis.xogrp.com/media-api/images/b31fee7a-c5fd-11e5-af58-22000aa61a3e~rs_729.h,
,Romantic Ceremony Space,"Lauren and Robert said “I do” in an intimate mahogany-paneled room within the Hay-Adams in Washington, DC. “The focal point of the space was a chuppah with boxwood and white roses,” Lauren says. The ceremony space was decorated with romantic candles, boxwood planters and a white fabric runner down the aisle.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDQwMjI3,2:  Chuppah   Religious Ceremony,"Missing classic, also historic venue as secondary tag; elegant",Marissa Hermanson,"""additional_terms"" : [
		""space"",
		""dc"",
		""lauren"",
		""washington"",
		""robert"",
		""room"",
		""aisle""
	],
	""concepts"" : [
		""chuppah"",
		""candles"",
		""roses"",
		""ceremony"",
		""intimate"",
		""romantic"",
		""white""
	]
","ceremony, chiavari chairs, classic, wedding arch, ballroom, historic venue","elegant, formal, traditional, chandeliers, greens, roses, chuppah, brown, white, ",,,https://www.theknot.com/real-weddings/romantic-ceremony-space-photo,https://apis.xogrp.com/media-api/images/d1d2c810-ead8-11e5-af58-22000aa61a3e~rs_729.h,
,Vintage Sweetheart Table,"Knowing they would be spending a good portion of the evening socializing with friends and family members, Nina and Charlie opted for a sweetheart table to ensure they would have a few private moments together.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDAzNTI0,4:  Bohemian   Modern   Whimsical   Summer,Doesn't scream summer wedding - needs industrial/urban tag,Libby MacCarthy,"       ""additional_terms"" : [
                ""opted"",
                ""spending""
        ],
        ""concepts"" : [
                ""sweetheart table"",
                ""friends + family"",
                ""vintage"",
                ""tables""
        ]
","bohemian, whimsical, earth tones, vintage, sweetheart table, eclectic","casual, string lights, lighting, chairs, metallic, color, historic venue, ivory, wood, brown, industrial, reception, tables, alternative, rustic",,,https://www.theknot.com/real-weddings/vintage-sweetheart-table-photo-2,https://apis.xogrp.com/media-api/images/daf87120-6ab2-11e5-9816-22000aa61a3e~rs_729.h,
,Elegant Chuppah Covered With Cherry Blossoms,"""Cherry blossoms are my favorite, so when we set our wedding date in the middle of cherry blossom season, I knew I wanted to incorporate them throughout,"" Taryn says of covering their chuppah, cake and tablescapes with the timeless bloom.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU5NTQz,4:  Aisle Decorations   Chuppah   Ballroom   Jewish  Religious Ceremony,,,"""additional_terms"" : [
		""season"",
		""favorite"",
		""set"",
		""middle"",
		""bloom"",
		""cake"",
		""covering""
	],
	""concepts"" : [
		""cherry blossoms"",
		""tablescapes"",
		""chuppah"",
		""classic"",
		""elegant"",
		""wedding""
	]
","ceremony, chuppah, modern, luxury, cherry blossoms, glamorous","elegant, formal, candles, ballroom, aisle decorations, chairs, neutrals,  rooftop, wedding arch, vases, regal, jewish",,,https://www.theknot.com/real-weddings/elegant-chuppah-covered-with-cherry-blossoms-photo,https://apis.xogrp.com/media-api/images/b3b26ba5-38b0-11e6-af22-0e6345a2d5d3~rs_729.h,
,Modern Plexiglas and Floral Chuppah,"Mia and Jake’s chuppah perfectly reflected the couple’s modern, romantic vision with its fusion of natural and contemporary elements. Curly willow branches and Plexiglas columns served as the base for the striking structure, while a cascading garland of green amaranth, greenery, vines and blush and ivory blooms brought a secret-garden feel to the decor.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDQyNjQ3,4:  Chuppah   Modern   Jewish   Ceremony,,Libby MacCarthy,"       ""additional_terms"" : [
                ""curly willow"",
                ""couple’s"",
                ""striking"",
                ""base"",
                ""cascading"",
                ""perfectly"",
                ""floral"",
                ""vision"",
                ""elements""
        ],
        ""concepts"" : [
                ""chuppah"",
                ""modern"",
                ""fusion"",
                ""garland"",
                ""leaves"",
                ""blush"",
                ""natural"",
                ""ivory"",
                ""green"",
                ""greens"",
                ""romantic"",
                ""branches""
        ]
","ceremony, chuppah, modern, rooftop, whimsical, branches, pastels, eclectic","altar, candles, ghost chairs, chairs, roses, hydrangea, wedding arch, blush, greens, white, color, flower alternatives, summer, garland,  ",,,https://www.theknot.com/real-weddings/modern-plexiglas-and-floral-chuppah-photo,https://apis.xogrp.com/media-api/images/46a7f742-f5be-11e5-b1c6-22000aa61a3e~rs_729.h,
,Bohemian Floral Wedding Arbor,"The ceremony took place on the deck of the Sun and Surf Beach Club in Atlantic Beach, New York, overlooking the ocean. “It was perfect with the beach in the background,” Vanessa says. Late in the afternoon, the couple exchanged vows under a striking handcrafted wooden arbor, which Stefan’s Floral decorated with cascades of orange, pink, red, yellow and white flowers to capture the day’s festival theme.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDM5OTgy,2:  Wedding Arch   Bohemian,,Libby MacCarthy,"""additional_terms"" : [
		""floral"",
		""wooden"",
		""deck"",
		""decorated"",
		""overlooking"",
		""ceremony took place"",
		""background"",
		""couple exchanged"",
		""arbor"",
		""club"",
		""capture"",
		""perfect"",
		""striking"",
		""theme"",
		""late"",
		""vanessa""
	],
	""concepts"" : [
		""bohemian"",
		""beach"",
		""orange"",
		""yellow"",
		""red"",
		""pink"",
		""wedding"",
		""vows"",
		""ceremony"",
		""news"",
		""white""
	]
","eclectic, boehmian, whimiscal, wedding arch, colorful, brights","hydrangea, snapdragons, roses, casual, ceremony, cala lilies, orange, fuschia, yellow, white, beach, altar, waterfront, rooftop, modern, preppy, nautical, summer, color",,,https://www.theknot.com/real-weddings/bohemian-floral-wedding-arbor-photo,,
,Buttermilk Falls Inn Tented Wedding Reception,"“When I looked at photographs of other weddings in the Hudson Valley, I repeatedly found myself drawn to the work of Linda Baldwin. She creates beautiful arrangements that are elegant and natural,” Hannah says. For the reception, she infused the expansive tent with woodland whimsy by adorning the tent poles with tree saplings.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDM5MTc5,5: Chiavari Chairs   Dining Tables   Country   Reception  Tented,,Libby MacCarthy,"""additional_terms"" : [
		""tent"",
		""weddings"",
		""creates"",
		""drawn"",
		""found"",
		""linda"",
		""hannah"",
		""adorning"",
		""work""
	],
	""concepts"" : [
		""tented"",
		""tents"",
		""reception"",
		""wood"",
		""woodland"",
		""wedding"",
		""trees"",
		""natural"",
		""fall"",
		""elegant"",
		""inns""
	]
","reception, tents, trees, tables, rustic","wood, centerpieces, rananculous, chiavari, dahlia, roses, garden, ivory, peach, green, flower alternatives, string lights, natural, romantic, barn, waterfront",,,album link: https://www.theknot.com/real-weddings/a-summer-garden-party-inspired-wedding-at-buttermilk-falls-inn-in-milton-new-york-album (error going directly to the photo),,
,Modern Mandarin Oriental Ballroom Reception,"With the help of designer David Beahm, Allison and Jason transformed the ballroom at the Mandarin Oriental into a whimsical interpretation of a Parisian flower shop. Ghost chairs and floating candles provided an element of contemporary romance and glamour, while vibrant, architectural floral arrangements added drama and texture to the chic space.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDA1ODY4,6:  Luxury   Glamorous   Whimsical   Hotel   Summer  Brights,,n/a,"	""additional_terms"" : [
		""added"",
		""floral arrangements"",
		""element"",
		""space"",
		""provided"",
		""floral"",
		""vibrant"",
		""contemporary"",
		""flower""
	],
	""concepts"" : [
		""ballroom"",
		""chairs"",
		""architectural"",
		""textured"",
		""whimsical"",
		""candles"",
		""chic"",
		""modern"",
		""reception""
	]
","luxury, regal, meallics, colorful, glamorous, reception","ballroom, elegant, candles, hydrangea, gold, silver, ghost chairs, chairs, hotel, rooftop, tall centerpieces, centerpieces, white, fuschia, orange, white, tablescapes, floral arrangements, linens ",,,https://www.theknot.com/real-weddings/modern-mandarin-oriental-ballroom-reception-photo,https://apis.xogrp.com/media-api/images/1b487c52-7733-11e5-9816-22000aa61a3e~rs_729.h,
,Haven's Kitchen Wedding Reception,"Choosing a venue for their midspring affair proved to be more difficult than Hitomi and Michael imagined. The couple were torn between a low-key suburban setting and an elegant, urban soiree in the city. After stumbling across Haven’s Kitchen in New York, New York, the couple knew the city was the place to be. The venue’s warmth and reputation for top-notch farm-to-table eats were immediate selling points, offering the couple a serene, intimate haven in the middle of the bustling Big Apple for their once-in-a-lifetime event.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDAyMTA3,1:  Reception,,Libby MacCarthy,"	""additional_terms"" : [
		""venue’s"",
		""setting"",
		""couple"",
		""offering"",
		""city"",
		""venue"",
		""event"",
		""new york"",
		""place"",
		""choosing"",
		""soiree""
	],
	""concepts"" : [
		""urban"",
		""intimate"",
		""elegant"",
		""reception"",
		""wedding"",
		""news""
	]
","modern, restaurant, white, neutrals, reception,  ivy","casual, garland, chalkboards, chairs, marais chairs, loft, greens, centerpieces, wood, string lights, mirrored, paper lanterns, lanterns, bohemian, tables, tablescape, ",,,https://www.theknot.com/real-weddings/havens-kitchen-wedding-reception-photo,https://apis.xogrp.com/media-api/images/44b05ad0-6629-11e5-9816-22000aa61a3e~rs_729.h,
,Monteverde at Oldstone Outdoor Ceremony,"The day kicked off with a traditional Indian ceremony on the expansive manicured lawn at Monteverde at Oldstone in in Cortlandt Manor, New York. The site offered guests breathtaking views of the surrounding forest and river, setting the tone for the reception’s secret-garden theme.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDAxODQ0,1:  Ceremony,,Libby MacCarthy,"	""additional_terms"" : [
		""breathtaking"",
		""views"",
		""river"",
		""theme"",
		""breathtaking views"",
		""setting"",
		""manor"",
		""outdoor"",
		""forest"",
		""new york""
	],
	""concepts"" : [
		""ceremony"",
		""indian"",
		""traditional"",
		""classic"",
		""guests"",
		""news""
	]
","ceremony, waterfront, garden, colorful, wedding arch, Indian","trees, park, turquoise, red, flower arrangements, glamorous, chairs, folding chairs, white, trees, summer",,,https://www.theknot.com/real-weddings/monteverde-at-oldstone-outdoor-ceremony-photo,https://apis.xogrp.com/media-api/images/f45ca748-6545-11e5-9816-22000aa61a3e~rs_729.h,
,Blush Sparkly Table Linens at Ballroom Reception,"The reception took place at Le Parker Meridien in New York, New York, where floor-to-ceiling windows offered a panoramic view overlooking Central Park.  Jennifer and Dustin named each dining table after a New York City neighborhood. Jennifer's favorite touch? The blush sequined table linens!",http://twobrightlights.com/publication_studio/pubstudioshell/stud:MzkxMjM2,2:  Dining Tables   Ballroom,,Shelby Simon,"""additional_terms"" : [
		""jennifer"",
		""york"",
		""offered"",
		""new york city"",
		""new"",
		""city"",
		""dustin"",
		""new york"",
		""overlooking""
	],
	""concepts"" : [
		""linens"",
		""blush"",
		""dining tables"",
		""tables"",
		""ballroom"",
		""park"",
		""news"",
		""reception""
	]
","champagne, metallics, ballroom, rooftop, glamorous, reception","elegant, formal, luxury, roses, centerpieces, candles, linens, hotel, chiavari chairs, low centerpieces, taupe, gifts + favors, classic, tables, ",,,https://www.theknot.com/real-weddings/blush-sparkly-table-linens-at-ballroom-reception-photo,https://apis.xogrp.com/media-api/images/71f85380-3dcf-11e5-9816-22000aa61a3e~rs_729.h,
,Modern Tented Wedding Reception,"A green, burgundy and ivory color palette warmed the celebration, and 1,000 hanging candles created an ethereal glow. ""It was like gazing at the beautiful starry night,"" Lauren says.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:MzgwNTEw, 8: Chairs   Dining Tables   Modern   Whimsical  Farm + Ranch   Fall   Reception   Tented,,Lauren Levy,"""additional_terms"" : [
		""color palette"",
		""created"",
		""palette"",
		""hanging"",
		""celebration"",
		""lauren"",
		""glow""
	],
	""concepts"" : [
		""burgundy"",
		""ethereal"",
		""tented"",
		""candles"",
		""ivory"",
		""modern"",
		""green"",
		""greens"",
		""color"",
		""reception"",
		""wedding""
	]
","glamorous, rustic, tents, reception, earth tones, luxury","natural, elegant, formal, lace, louis xvi chairs, chairs, neutrals, candles, wood, burgandy, farm table, burgandy, decorations + accents, backdrops, tablescapes, draping, romantic, modern",,,https://www.theknot.com/real-weddings/modern-tented-wedding-reception-photo,https://apis.xogrp.com/media-api/images/aa8fea56-2708-11e5-9816-22000aa61a3e~rs_729.h,
,Elegant Clear-Tent Reception,"Two six-foot-wide chandeliers hung from the ceiling in the reception's dining tent, providing a warm, romantic light as rain began to fall.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU1MjMy,4:  Black   White   Reception   Tented,,Carolyn Meers,"""additional_terms"" : [
		""chandeliers hung"",
		""warm"",
		""light"",
		""dining"",
		""providing""
	],
	""concepts"" : [
		""chandeliers"",
		""tented"",
		""tents"",
		""lighting"",
		""fall"",
		""elegant"",
		""romantic"",
		""reception""
	]
","modern, black and white, reception, tents, chairs","Chanel-Inspired chairs, chandelier, short centerpieces, centerpieces, blush, rananculous, anenomes, metallics, tables, tablescapes, glamorous, ",,,https://www.theknot.com/real-weddings/elegant-clear-tent-reception-photo,https://apis.xogrp.com/media-api/images/112bb1ff-2387-11e6-af22-0e6345a2d5d3~rs_729.h,
,"Elegant, Modern Loft Reception","During cocktail hour, the ceremony site was converted into a romantic reception hall. A combination of round and long communal tables were set with simple white linen and then topped with eucalyptus garlands and glass vases filled with blush dahlias. ""Nestled into the foliage were these beautiful little votives and some tall candlesticks,"" Alexandra says.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDMyODc1,2:  Reception   Loft,,Carolyn Meers,"""additional_terms"" : [
		""garlands"",
		""alexandra"",
		""filled"",
		""tall"",
		""beautiful"",
		""topped"",
		""ceremony site""
	],
	""concepts"" : [
		""loft"",
		""eucalyptus"",
		""dahlias"",
		""garland"",
		""vases"",
		""linens"",
		""cocktail hour"",
		""blush"",
		""reception"",
		""simple"",
		""modern"",
		""tables"",
		""elegant"",
		""romantic"",
		""white"",
		""ceremony"",
		""glassware""
	]
","historic venue, modern, industrial, chandeliers, reception, neutrals","formal, blush, chiavari chairs, euctalyptus, dhalia, linens, tables, lighting, loft, centerpieces, candles, romantic, bohemian, ",,,https://www.theknot.com/real-weddings/elegant-modern-loft-reception-photo,https://apis.xogrp.com/media-api/images/173a60d4-59d4-11e5-9816-22000aa61a3e~rs_729.h,
,"Romantic Outdoor Ceremony in Ojai, California","Tracy and Michael's outdoor ceremony at Red Tail Ranch in Ojai, California, overlooked miles of rolling hills. Burlap-bagged olive trees lined the aisle leading to the wedding arch, which was handcrafted from birch-wood branches and topped with a floral garlands. Throw blankets softened the look of the handmade wooden benches.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:Mzg0Mzcz,4:  Wedding Arch   Rustic   Farm + Ranch   Eucalyptus,,Carolyn Meers,"        ""additional_terms"" : [
                ""aisle"",
                ""overlooked"",
                ""california"",
                ""outdoor"",
                ""leading"",
                ""topped"",
                ""lined"",
                ""rolling"",
                ""floral"",
                ""throw""
        ],
        ""concepts"" : [
                ""ceremony"",
                ""benches"",
                ""garland"",
                ""wedding arch"",
                ""trees"",
                ""red"",
                ""wedding"",
                ""romantic"",
                ""branches""
        ]
","ceremony, rustic, benches, aisle decorations, mountains, bohemian, earth tones, wedding arch","causal, greens, euctalyptus, flower arrangements, treees, burlap, pedestals, greems, garland, DIY, natural, plants",,,https://www.theknot.com/real-weddings/romantic-outdoor-ceremony-in-ojai-california-photo,,
,Garden Wedding Ceremony at Stan Hywet Hall and Gardens,n/a,http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDY5MTky,4:  Garden   Mansion   Ceremony   Vows,,,"""additional_terms"" : [
		""hall""
	],
	""concepts"" : [
		""garden"",
		""ceremony"",
		""wedding""
	]
","ceremony, classic,  romantic, garden","traditional, elegant, park, trees, folding chairs, simple, glamorous, summer, estate",,,https://www.theknot.com/real-weddings/garden-wedding-ceremony-at-stan-hywet-hall-and-gardens-photo,https://apis.xogrp.com/media-api/images/b51b2d2f-55d0-11e6-b1e3-0e6345a2d5d3~rs_729.h,
,A Candlelit Reception,"The reception featured a 32-seat, gold-glitz linen, communal-style head table in the center of the guest tables.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU1MzEw,5:  Luxury   Dining Tables   Glamorous   Historic Venue  Reception,,Ginger Harris ,"""additional_terms"" : [
		""head""
	],
	""concepts"" : [
		""tables"",
		""linens"",
		""reception"",
		""guests""
	]
","reception, glamorous, historic venue, classic ","tables, regal, neutrals, champagne, blush, chiavari chairs, lighting, formal",,,https://www.theknot.com/real-weddings/a-candlelit-reception-photo-1,https://apis.xogrp.com/media-api/images/1d1cc996-21b8-11e6-af22-0e6345a2d5d3~rs_729.h,
,Nontraditional First-Dance Song,"The couple shared their first dance on a black-and-white-checkered dance floor to ""You Are Mine"" by Spencer Combs and Holley Maher.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDYyMjk1,6:  Umbrellas + Parasols   Decorations + Accents   Chandeliers  Draping   Reception   Tented,,Chrissy Sorenson,"""additional_terms"" : [
		""song""
	],
	""concepts"" : [
		""first dance"",
		""dance floor"",
		""dancing""
	]
","reception, whimsical, color, dance floor, backdrop, sweetheart table","topiaries, chairs, green, pink, moss, centerpieces, roses, tents, floral arrangements, decorations + accents, color, pedestals, white, ivory, vintage",,,https://www.theknot.com/real-weddings/nontraditional-first-dance-song-photo,https://apis.xogrp.com/media-api/images/f7504bfc-447a-11e6-af22-0e6345a2d5d3~rs_729.h,
,White and Blush Wedding Arch With Hydrangeas,"A dense floral arbor featuring fluffy hydrangeas, soft roses and phalaenopsis orchids was the focal point of the romantic ceremony space.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDM4MDA5,10:  Gold   Aisle Decorations   Candles   Chandeliers  Wedding Arch   Draping   Ballroom   Hotel  Ceremony   Orchids,,Samantha Meux,"""additional_terms"" : [
		""soft"",
		""featuring"",
		""floral"",
		""space"",
		""arbor"",
		""phalaenopsis""
	],
	""concepts"" : [
		""hydrangeas"",
		""orchids"",
		""wedding arch"",
		""blush"",
		""roses"",
		""white"",
		""ceremony"",
		""wedding"",
		""romantic""
	]
","formal, classic, glamorous, ballroom, wedding arch, chandelier, ceremony","luxury, traditional, elegant, draping, blush, white, orchid, roses, hydrangeas, candles, rose petals, aisle decorations, chairs, banquet chairs, romantic",,,https://www.theknot.com/real-weddings/white-and-blush-wedding-arch-with-hydrangeas-photo,https://apis.xogrp.com/media-api/images/edc9972c-e030-11e5-af58-22000aa61a3e~rs_729.h,
,Rustic Country Ceremony,"Overlooking Loudoun County’s beautiful countryside, the ceremony site was simply decorated with dark wooden chairs and a rustic arbor adorned in lush greenery.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU4OTMw,2:  Wedding Arch   Ceremony,,Marissa Hermanson,"       ""additional_terms"" : [
                ""greenery"",
                ""decorated"",
                ""ceremony site"",
                ""lush"",
                ""site"",
                ""overlooking""
        ],
        ""concepts"" : [
                ""rustic"",
                ""simple"",
                ""chairs"",
                ""leaves"",
                ""country"",
                ""ceremony""
        ]
","ceremony, greens, mountain, rustic, natural, wedding arch","trees, wood, earthy tones, simple, folding chairs, casual, farm + ranch, vineyard, green, brown, bohemian, summer, eco-friendly",,,https://www.theknot.com/real-weddings/rustic-country-ceremony-photo,https://apis.xogrp.com/media-api/images/0f67d8cb-367e-11e6-af22-0e6345a2d5d3~rs_729.h,
,Rustic Barn Reception,"The celebration continued with dinner and dancing in a rustic barn. “My favorite design detail was in the barn, which looked absolutely magical, with lanterns hanging from the ceiling,” Erica says.",http://twobrightlights.com/publication_studio/pubstudioshell/stud:NDU2NTkx,5:  Lanterns   Vintage   Barn   Farm + Ranch   Reception,,Marissa Hermanson,"	""additional_terms"" : [
		""celebration"",
		""favorite""
	],
	""concepts"" : [
		""barn"",
		""rustic"",
		""lanterns"",
		""dancing"",
		""reception""
	]","barn, rustic, lanterns, reception, earth tones","casual, draping, linens, folding chairs, decorations + accents, tables, bohemian, natural, taupe, white, greens",,,https://www.theknot.com/real-weddings/rustic-barn-reception-photo-31,https://apis.xogrp.com/media-api/images/59b47fb3-2bf7-11e6-af22-0e6345a2d5d3~rs_729.h,
